player_name,pitch_type,stuffGrade,nPitches
A.J. Alexy,CH,44.02447131211516,90
A.J. Alexy,CU,36.72184757303094,54
A.J. Alexy,FF,48.97185255099389,316
A.J. Alexy,SL,46.93545209747966,116
A.J. Cole,CH,48.22485643284948,39
A.J. Cole,CU,42.992825252598756,33
A.J. Cole,FC,40.84671550366818,76
A.J. Cole,FF,47.570168899605605,207
A.J. Cole,SL,47.2338512021527,224
A.J. Ladwig,SI,43.895808293505425,14
A.J. Ladwig,SL,46.07957612868748,11
A.J. Minter,CH,54.40396137198196,453
A.J. Minter,FC,57.45002860946535,1130
A.J. Minter,FF,55.703773607671785,1276
A.J. Puk,CH,52.88180171924853,12
A.J. Puk,FF,47.49602623289027,621
A.J. Puk,SI,47.40366829807668,218
A.J. Puk,SL,49.30938784044569,474
AJ Ramos,CH,43.068017541056186,33
AJ Ramos,FC,48.915238787772324,38
AJ Ramos,FF,50.49751322148629,43
AJ Ramos,SI,41.74305067403519,15
AJ Ramos,SL,39.83156331244321,26
Aaron Ashby,CH,54.27471711749725,510
Aaron Ashby,CU,48.43712494428855,264
Aaron Ashby,FF,39.06508474359839,87
Aaron Ashby,SI,45.591828409896586,828
Aaron Ashby,SL,54.76028851159648,779
Aaron Barrett,SI,49.529958757992425,14
Aaron Barrett,SL,39.306749031567996,16
Aaron Brooks,CH,49.34879731295336,38
Aaron Brooks,FF,40.74285286974355,36
Aaron Brooks,SI,47.367331810917705,39
Aaron Brooks,SL,53.72898245114421,35
Aaron Bummer,FC,46.54731375408282,147
Aaron Bummer,SI,50.04472089449297,1065
Aaron Bummer,SL,54.737849827466626,449
Aaron Civale,CH,45.219674518287476,110
Aaron Civale,CU,57.25169913431668,1024
Aaron Civale,FC,51.50747977178091,1399
Aaron Civale,FF,36.70914651473571,626
Aaron Civale,FS,45.286322518006045,331
Aaron Civale,SI,42.2037402075024,903
Aaron Civale,SL,47.680352216841996,398
Aaron Fletcher,CH,52.32111736762244,86
Aaron Fletcher,SI,51.03057445379527,214
Aaron Fletcher,SL,39.96440891402847,80
Aaron Loup,CH,60.433116646668616,235
Aaron Loup,CU,41.552869853208584,131
Aaron Loup,FC,49.45221065435804,809
Aaron Loup,SI,55.14895285366007,1173
Aaron Nola,CH,48.42949044313458,1431
Aaron Nola,FC,49.42530796595875,278
Aaron Nola,FF,51.576734272127375,2554
Aaron Nola,KC,52.00179518083408,2065
Aaron Nola,SI,52.58402671425999,1337
Aaron Northcraft,CH,54.71115621788902,18
Aaron Northcraft,FF,33.11056990211607,11
Aaron Northcraft,SI,53.16762950764129,83
Aaron Northcraft,SL,45.33020007440149,17
Aaron Sanchez,CH,40.24228670183434,226
Aaron Sanchez,CU,48.644221069376975,464
Aaron Sanchez,FF,37.09507487471016,308
Aaron Sanchez,SI,49.12121273563414,595
Aaron Slegers,CH,41.668853445103586,97
Aaron Slegers,FF,36.80839517854545,181
Aaron Slegers,SI,50.52645744556463,420
Aaron Slegers,SL,41.12604116902052,337
Adam Cimber,FF,47.468813410035494,801
Adam Cimber,SI,62.0382144479462,771
Adam Cimber,SL,50.035153686662355,873
Adam Conley,CH,56.968792961527114,85
Adam Conley,FF,50.7934980222325,160
Adam Conley,SL,51.73619368109383,50
Adam Eaton,FF,45.45113700658841,14
Adam Kolarek,CH,59.44506015134204,112
Adam Kolarek,FF,29.838338877744448,36
Adam Kolarek,SI,64.79580968523761,594
Adam Kolarek,SL,48.99217181411605,102
Adam Morgan,CH,38.582721863336445,72
Adam Morgan,CU,50.70332977367666,62
Adam Morgan,FF,43.28317536823202,115
Adam Morgan,SI,50.7780819966317,130
Adam Morgan,SL,52.74475286517257,323
Adam Oller,CH,42.6807322065244,162
Adam Oller,CU,40.299369491786464,137
Adam Oller,FC,38.99083286679575,320
Adam Oller,FF,45.68369232863435,431
Adam Oller,SI,41.44248265761627,126
Adam Oller,SL,44.04068273762719,116
Adam Ottavino,CH,53.30933896833028,125
Adam Ottavino,CU,56.06912229432274,25
Adam Ottavino,FC,56.38889767791664,105
Adam Ottavino,FF,50.36477963764849,425
Adam Ottavino,SI,57.328659132485626,879
Adam Ottavino,SL,65.3080743855938,1257
Adam Plutko,CH,37.364273386162886,20
Adam Plutko,CU,49.37895747624791,137
Adam Plutko,FC,45.61196270823818,510
Adam Plutko,FF,45.544706190724426,770
Adam Plutko,SL,45.1935736388211,119
Adam Wainwright,CH,46.31687059842465,433
Adam Wainwright,CU,64.67030492027855,2498
Adam Wainwright,FC,48.70580334375531,1774
Adam Wainwright,FF,37.47662730013427,702
Adam Wainwright,SI,44.95947103849288,2108
Adbert Alzolay,CH,47.44435160711058,199
Adbert Alzolay,CU,57.34807936745956,128
Adbert Alzolay,FC,50.39202173134843,180
Adbert Alzolay,FF,46.696954834623014,588
Adbert Alzolay,SI,48.053189128157435,659
Adbert Alzolay,SL,52.92862938648867,933
Adonis Medina,CH,53.42568553812218,119
Adonis Medina,CU,52.17087461063119,69
Adonis Medina,FF,44.775916466198645,135
Adonis Medina,SI,48.40979950179043,165
Adonis Medina,SL,47.523365345368425,147
Adrian Houser,CH,48.20532535468499,550
Adrian Houser,CU,32.379157776817124,673
Adrian Houser,FF,39.08009675287275,838
Adrian Houser,SI,53.306089169429924,2599
Adrian Houser,SL,48.52983701073372,535
Adrian Martinez,CH,54.977593437451766,280
Adrian Martinez,SI,42.75656256495278,511
Adrian Martinez,SL,43.38951455714746,224
Adrian Morejon,CH,54.08674400185312,113
Adrian Morejon,CU,51.994470415433284,160
Adrian Morejon,FF,58.717540382722,658
Adrian Morejon,SI,53.09087102094894,26
Adrian Morejon,SL,58.50031595359181,134
Adrian Sampson,CH,42.22358616798901,358
Adrian Sampson,FC,49.903683973829374,109
Adrian Sampson,FF,41.900556078356104,646
Adrian Sampson,SI,42.71669731614583,739
Adrian Sampson,SL,47.47917528796303,320
Albert Abreu,CH,52.34680544257364,190
Albert Abreu,FF,54.31092997386108,221
Albert Abreu,SI,61.20223610951625,561
Albert Abreu,SL,60.226224697774704,450
Alberto Baldonado,CH,54.30598435680108,11
Alberto Baldonado,FF,50.6165838069165,130
Alberto Baldonado,SL,46.63762745876377,74
Alec Bettinger,CU,42.10207946351884,34
Alec Bettinger,FC,44.01483725470643,19
Alec Bettinger,FF,46.407282400842,127
Alec Mills,CH,40.76378991573954,530
Alec Mills,CU,28.66867462930987,373
Alec Mills,FF,38.95259157168219,646
Alec Mills,SI,46.234002083836174,1267
Alec Mills,SL,38.154418774256555,384
Alek Manoah,CH,44.403555253875034,538
Alek Manoah,FF,50.960025719129625,1802
Alek Manoah,SI,49.62686687710286,1330
Alek Manoah,SL,51.312619731950036,1395
Alex Claudio,CH,41.05740943959924,282
Alex Claudio,FF,33.2975991604848,107
Alex Claudio,SI,43.62436233299693,344
Alex Claudio,SL,43.1668244500092,242
Alex Cobb,FF,42.28670628434256,79
Alex Cobb,FS,50.422633471696074,1893
Alex Cobb,KC,50.517863735765985,762
Alex Cobb,SI,47.48213682831323,2059
Alex Colome,FC,50.06425547388437,1730
Alex Colome,FF,41.34896386130429,563
