player_name,pitch_type,stuffGrade,release_speed,InducedVertBreak
Devin Williams,CH,74.737309,83.641433,-3.321502
Matt Brash,SL,73.050956,87.016971,0.183603
Ryan Pressly,CU,71.820286,81.526043,-13.511119
Miguel Castro,SL,70.016073,85.900123,1.456471
Dustin May,CU,69.437848,86.21875,-5.396591
Emmanuel Clase,SL,69.164302,91.820695,0.316237
Felix Bautista,FF,68.975498,99.152961,19.675263
Joe Kelly,KC,68.705608,87.541218,-9.050726
Beau Brieske,CH,67.98302,81.969474,13.034526
Edwin Diaz,SL,67.509607,90.529991,4.843794
Julio Urias,CU,66.880873,81.196144,-0.886065
Pete Fairbanks,FF,66.544768,97.716941,18.264505
Felix Bautista,FS,66.41781,88.444106,6.884259
Kyle Crick,SL,66.29973,78.894606,0.537261
Andres Munoz,SL,66.275928,88.732961,5.151117
Jonathan Loaisiga,SI,66.155205,98.02918,11.547678
Dylan Cease,SL,66.150025,86.581429,-0.60695
Daniel Bard,SL,65.702995,87.608909,2.237127
Ryne Stanek,FS,65.697741,88.283764,4.900738
Jhoan Duran,CU,65.678019,87.834579,-6.904299
Walker Buehler,SL,65.570606,85.119279,1.086657
Gerrit Cole,SL,65.447984,88.597611,1.057524
Jacob deGrom,CH,65.329515,91.489637,4.157098
Adam Ottavino,SL,65.308074,80.828401,0.82148
Tejay Antone,CU,65.245774,79.567636,-10.605818
